            TIME         VOLTAGE         CURRENT
          0.0639         9.40881         2.15173
           0.064         9.51057         2.24684
          0.0641         9.60294         2.34287
          0.0642         9.68583         2.43973
          0.0643         9.75917         2.53732
          0.0644         9.82287         2.63555
          0.0645         9.87688         2.73432
          0.0646         9.92115         2.83353
          0.0647         9.95562         2.93308
          0.0648         9.98027         3.03289
          0.0649         9.99507         3.13284
           0.065              10         3.23284
          0.0651         9.99507         3.33279
          0.0652         9.98027         3.43259
          0.0653         9.95562         3.53215
          0.0654         9.92115         3.63136
          0.0655         9.87688         3.73013
          0.0656         9.82287         3.82836
          0.0657         9.75917         3.92595
          0.0658         9.68583         4.02281
          0.0659         9.60294         4.11883
           0.066         9.51057         4.21394
          0.0661         9.40881         4.30803
          0.0662         9.29776         4.40101
          0.0663         9.17755         4.49278
          0.0664         9.04827         4.58326
          0.0665         8.91007         4.67237
          0.0666         8.76307            4.76
          0.0667         8.60742         4.84607
          0.0668         8.44328          4.9305
          0.0669         8.27081         5.01321
           0.067         8.09017         5.09411
          0.0671         7.90155         5.17313
          0.0672         7.70513         5.25018
          0.0673         7.50111         5.32519
          0.0674         7.28969         5.39809
          0.0675         7.07107          5.4688
          0.0676         6.84547         5.53725
          0.0677         6.61312         5.60338
          0.0678         6.37424         5.66713
          0.0679         6.12907         5.72842
           0.068         5.87785          5.7872
          0.0681         5.62083          5.8434
          0.0682         5.35827         5.89699
          0.0683         5.09041         5.94789
          0.0684         4.81754         5.99607
          0.0685          4.5399         6.04147
          0.0686         4.25779         6.08404
          0.0687         3.97148         6.12376
          0.0688         3.68125         6.16057
          0.0689         3.38738         6.19444
           0.069         3.09017         6.22535
          0.0691         2.78991         6.25324
          0.0692          2.4869         6.27811
          0.0693         2.18143         6.29993
          0.0694         1.87381         6.31867
          0.0695         1.56434         6.33431
          0.0696         1.25333         6.34684
          0.0697        0.941083         6.35625
          0.0698        0.627905         6.36253
          0.0699        0.314108         6.36567
            0.07    -3.08229e-12         6.36567
          0.0701       -0.314108         6.36253
          0.0702       -0.627905         6.35625
          0.0703       -0.941083         6.34684
          0.0704        -1.25333         6.33431
          0.0705        -1.56434         6.31867
          0.0706        -1.87381         6.29993
          0.0707        -2.18143         6.27811
          0.0708         -2.4869         6.25324
          0.0709        -2.78991         6.22535
           0.071        -3.09017         6.19444
          0.0711        -3.38738         6.16057
          0.0712        -3.68125         6.12376
          0.0713        -3.97148         6.08404
          0.0714        -4.25779         6.04147
          0.0715         -4.5399         5.99607
          0.0716        -4.81754         5.94789
          0.0717        -5.09041         5.89699
          0.0718        -5.35827          5.8434
          0.0719        -5.62083          5.7872
           0.072        -5.87785         5.72842
          0.0721        -6.12907         5.66713
          0.0722        -6.37424         5.60338
          0.0723        -6.61312         5.53725
          0.0724        -6.84547          5.4688
          0.0725        -7.07107         5.39809
          0.0726        -7.28969         5.32519
          0.0727        -7.50111         5.25018
          0.0728        -7.70513         5.17313
          0.0729        -7.90155         5.09411
           0.073        -8.09017         5.01321
          0.0731        -8.27081          4.9305
          0.0732        -8.44328         4.84607
          0.0733        -8.60742            4.76
          0.0734        -8.76307         4.67237
          0.0735        -8.91007         4.58326
          0.0736        -9.04827         4.49278
          0.0737        -9.17755         4.40101
          0.0738        -9.29776         4.30803
          0.0739        -9.40881         4.21394
           0.074        -9.51057         4.11883
          0.0741        -9.60294         4.02281
          0.0742        -9.68583         3.92595
          0.0743        -9.75917         3.82836
          0.0744        -9.82287         3.73013
          0.0745        -9.87688         3.63136
          0.0746        -9.92115         3.53215
          0.0747        -9.95562         3.43259
          0.0748        -9.98027         3.33279
          0.0749        -9.99507         3.23284
           0.075             -10         3.13284
          0.0751        -9.99507         3.03289
          0.0752        -9.98027         2.93308
          0.0753        -9.95562         2.83353
          0.0754        -9.92115         2.73432
          0.0755        -9.87688         2.63555
          0.0756        -9.82287         2.53732
          0.0757        -9.75917         2.43973
          0.0758        -9.68583         2.34287
          0.0759        -9.60294         2.24684
           0.076        -9.51057         2.15173
          0.0761        -9.40881         2.05765
          0.0762        -9.29776         1.96467
          0.0763        -9.17755         1.87289
          0.0764        -9.04827         1.78241
          0.0765        -8.91007         1.69331
          0.0766        -8.76307         1.60568
          0.0767        -8.60742          1.5196
          0.0768        -8.44328         1.43517
          0.0769        -8.27081         1.35246
           0.077        -8.09017         1.27156
          0.0771        -7.90155         1.19255
          0.0772        -7.70513         1.11549
          0.0773        -7.50111         1.04048
          0.0774        -7.28969        0.967587
          0.0775        -7.07107        0.896876
          0.0776        -6.84547        0.828421
          0.0777        -6.61312         0.76229
          0.0778        -6.37424        0.698548
          0.0779        -6.12907        0.637257
           0.078        -5.87785        0.578479
          0.0781        -5.62083         0.52227
          0.0782        -5.35827        0.468688
          0.0783        -5.09041        0.417783
          0.0784        -4.81754        0.369608
          0.0785         -4.5399        0.324209
          0.0786        -4.25779        0.281631
          0.0787        -3.97148        0.241916
          0.0788        -3.68125        0.205104
          0.0789        -3.38738         0.17123
           0.079        -3.09017        0.140328
          0.0791        -2.78991        0.112429
          0.0792         -2.4869       0.0875602
          0.0793        -2.18143       0.0657459
          0.0794        -1.87381       0.0470077
          0.0795        -1.56434       0.0313643
          0.0796        -1.25333        0.018831
          0.0797       -0.941083      0.00942013
          0.0798       -0.627905      0.00314108
          0.0799       -0.314108     1.49968e-13
            0.08     3.96924e-12     1.89661e-13
          0.0801        0.314108      0.00314108
          0.0802        0.627905      0.00942013
          0.0803        0.941083        0.018831
          0.0804         1.25333       0.0313643
          0.0805         1.56434       0.0470077
          0.0806         1.87381       0.0657459
          0.0807         2.18143       0.0875602
          0.0808          2.4869        0.112429
          0.0809         2.78991        0.140328
           0.081         3.09017         0.17123
          0.0811         3.38738        0.205104
          0.0812         3.68125        0.241916
          0.0813         3.97148        0.281631
          0.0814         4.25779        0.324209
          0.0815          4.5399        0.369608
          0.0816         4.81754        0.417783
          0.0817         5.09041        0.468688
          0.0818         5.35827         0.52227
          0.0819         5.62083        0.578479
           0.082         5.87785        0.637257
          0.0821         6.12907        0.698548
          0.0822         6.37424         0.76229
          0.0823         6.61312        0.828421
          0.0824         6.84547        0.896876
          0.0825         7.07107        0.967587
          0.0826         7.28969         1.04048
          0.0827         7.50111         1.11549
          0.0828         7.70513         1.19255
          0.0829         7.90155         1.27156
           0.083         8.09017         1.35246
          0.0831         8.27081         1.43517
          0.0832         8.44328          1.5196
          0.0833         8.60742         1.60568
          0.0834         8.76307         1.69331
          0.0835         8.91007         1.78241
          0.0836         9.04827         1.87289
          0.0837         9.17755         1.96467
          0.0838         9.29776         2.05765
          0.0839         9.40881         2.15173
           0.084         9.51057         2.24684
          0.0841         9.60294         2.34287
          0.0842         9.68583         2.43973
          0.0843         9.75917         2.53732
          0.0844         9.82287         2.63555
