ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
ens33: tx_bytes:636936 rx_bytes:9140476 tx_packets:7233 rx_packets: 11857
